id,name,description
26,スタウト(エール),"アイルランドを発祥としたビールのスタイル。
色は濃い茶から黒で、モルトの味と香りが非常に強いのが特長である。このスタイルで最も有名なビールは、「ギネス」ビール。元々はギネスビールの創設者、アーサーギネスがポーターというスタイルを独自で改良し誕生したスタイル。現在では、アメリカン、アイリッシュやイングリッシュなどそれぞれの国によって少々味や香りの違いがある。"
27,ストロング(エール),"ベルギーを発祥としたビールのスタイル。
色はかなり幅広い。ベルジャン、アメリカン、イングリッシュなど国によって色、味、香りが異なるが、共通しているのがアルコールの度数が高いこと(7%以上)。"
28,セゾン(エール),"ベルギーを発祥としたビールのスタイル。
色は淡色から濃い金で、ハーブやスパイスを多く含むことでフルーティーでありながら非常に複雑な味わいが特長となっている。元々は農民が冬の時期に仕込みをし、夏の間に飲んでいたビールとして知られていた。ここ最近また人気に火が付き、多くの醸造所がこのスタイルでビールを造っている。"
29,ダブル・インペリアルインディアペール(エール),"発祥は不明。
通常のIPAをさらにホップの香りと苦味を強くし、甘みとアルコール度数もかなり強いの特長である。"
30,ダブル・インペリアルスタウト(エール),"発祥は不明。
通常のスタウトのアルコール度数を高くし、モルトから出てくるキャラメル、チョコレート風味さらに香ばしさも強調させている。醸造所によっては、バーボンやウィスキーの樽で熟成させることで独特の風味と味わいを足している。"
31,デュッベル(エール),"ベルギーを発祥としたビールのスタイル。
色は濃い茶でモルトの味と香りが特長である。さらにきめ細かい泡と重めのボディーにより、独特な滑らかな喉越しがある。元々はトラピストビールの醸造方法を応用し、できたスタイルである。"
32,デュンケルヴァイツェン(エール),"ドイツを発祥としたビールのスタイル。
通常のヴァイツェンビールの色を濃くし、モルトの味と香りを強調したのが特長である。ドイツ語では、「デュンケル」は、濃いという意味である。"
33,トリペル(エール),"ベルギーを発祥としたビールのスタイル。
色は淡色から濃い金。トリペルという名前は、醸造の過程からきていて、通常のトラピストビールより三倍のモルトを使用している。モルトの味と香りが前面に出ているビールだが、淡い麦芽(モルト)を使用することで爽やかな甘さがあり、ボディーも軽い。このスタイルは、アルコール度数が非常に高いことでも知られている。"
34,バーレーワイン(エール),イギリスを発祥としたビールのスタイル。色は濃いアンバーから茶。ワインが名前に入っているが、ビール。様々なビールの中でも最もアルコールの度数が強く、ボディーも非常に思いのが特長である。味や香りは様々で、ホップの香りや苦味が非常に強かったり、反対にモルトの味と香りが非常に強かったり。ワインのように熟成期間を長くすることも特長の一つである。
35,フランダーズ・レッド(エール),ベルギーを発祥としたビールのスタイル。色は濃い赤から茶色。チェリー、レーズン、プルーンのようなフルーティーな味が強く、最大の特徴は酸味である。苦味がほとんどなく、フルーティーで甘さと酸味がある為、ビールとは思えない味わいである。
36,ブラウン(エール),"イギリスを発祥としたビールのスタイル。
濃いアンバーから茶色で、ホップよりモルトの味と香りが強めでボディーが軽めなのが特長である。昔はブラウン麦芽を100%使用していたということから、このような名前が付けられた。"
37,ブラックIPA・インディアブラック(エール),発祥は不明。色は濃い茶から黒。正式なスタイルとして認められていないが、ここ数年爆発的な人気となっている。IPAのような強烈なホップの香り(フルーティー・ハーブ・華やか)がありながら、スタウトほどではないがモルトの強い香ばしさとマイルドなキャラメルのような甘さが特徴。
38,ブラック・ダーク(エール),発祥は不明。バラック・ダークIPA、カスケーディアンダークエールと呼ばれることもある。色は濃い茶から黒、スタウトと比べて香ばしさとボディーが無く、IPAと同レベルのホップ感が特長である。
39,ブロンド・ゴールデン(エール),"発祥は不明(それぞれの国での解釈がある)。
色が黄色や金色、ボディーも軽めで炭酸が強いのが最大の特長。味、香りはかなり幅広い。クラフトビールの醸造所が大手が採用しているピルスナー(ラガー)スタイルをエールで作ることで、大手ビールからクラフトビールのファンになってくれることを狙ったという説がある。"
40,ベルジャンホワイト・ウィート・ヴィット(エール),"ベルギーを発祥としたビールのスタイル。
淡色で原料に小麦を多く使用する事で、少々濁りがあるのが特長。よく使用される原料は、オレンジの皮とコリアンダー(香菜)。これによってさっぱりとしたシトラス感が生まれる。苦味が少なく非常に飲みやすいということで、ビールの中でも非常に人気の高いスタイルである。"
41,ペール・ビター(エール),"イギリスを発祥としたビールのスタイル。
色は金からアンバーで、ホップが少々強めだが基本はモルトとバランスがとれているのが特長である。イギリス、アメリカやベルギーではそれぞれのペールエールの解釈があり色やホップとモルトのバランスも違うため、アメリカンペールエール、ベルジャンペールエールなどとスタイル分けする醸造所もある。"
42,ポーター(エール),"イギリスを発祥としたビールのスタイル。
色は濃い茶から黒。モルトを強調しているため、キャラメルやチョコレートのような香りと甘み、さらに香ばしさが特長である。スタウトと比較してポーターはホップの味、香り、苦味が弱く、アルコールの度数も低い。"
43,ライ(エール),"発祥は不明。
大麦麦芽を少々減らしその分ライ麦をしたビールのスタイル。ライ麦を使用する事で、少々のスパイスと酸味が特長である。"
44,ヴァイツェンボック(エール),ドイツを発祥としたビールのスタイル。デュンケルヴァイツェンよりさらに(ボックのように)、モルトの味と香りを強くし、アルコールの度数も高くしたのが特長である。
45,ヴァイツェン・ヴァイス(エール),"ドイツを発祥としたビールのスタイル。
淡色から濃い金で、使用しているエール酵母から発生するバナナのような香りが特長である。大麦と小麦麦芽を多く使用することで、フルーティーさと飲みやすさがあり苦味も少ない。無ろ過の状態で完成されているビールは、「ヘーフェヴァイツェン」と呼ばれ、ろ過されている物を「クリスタルヴァイツェン」と呼ぶ。"
46,スモーク・ラオホ(ハイブリッド),"ドイツを発祥としたビールのスタイル。
色は濃い茶。モルト(麦芽)を燻製し、使用することで独特の燻製の味と香りが出る。"
47,ハーブ・スパイス(ハイブリッド),"発祥は不明。
醸造の過程でスパイス・ハーブのエキスや実を使用し、そのアジト香りを前面に出しているビール。ホップやモルトの味と香りも弱く、よりスパイス・ハーブが前面にでるように造られている。"
48,フルーツ・ベジタブル(ハイブリッド),"発祥は不明。
醸造の過程でフルーツ・野菜のエキスや実を使用し、その味と香りを前面に出しているビール。ホップやモルトの味と香りも弱く、よりフルーツ・野菜が前面にでるように造られている。"
49,ランビック(ハイブリッド),"ベルギーを発祥としたビールのスタイル。
ラガーやエールの酵母は培養されていることが多いが、ランビックは醸造所の中や周辺に棲息する野生酵母で発酵させている。ランビックの中でもスタイルが分かれ、アンブレンデッド、グーズ、ファロとフルーツがある。"
50,スペシャルティー・その他,その他、スタイルとしては新しい物やスタイルとして認知されていないビール。
51,発泡酒,1950年代に戦争などで麦が不足し、ビールが醸造できない時期の対策として開発が始まった。1990年代になり、法改正などで一般的に飲まれるようになった。発泡酒の定義は、麦芽の使用率が67%未満であること、ただし課税の対策として現在最も流通している発泡酒は25%未満の商品が多い。
52,第3のビール・新ジャンル,1950年代に先頭などで麦が不足し、ビールが醸造できない時期の対策として開発が始まった。2000年中盤に本格的な研究開発が始まり、商品が完成した。原料に麦芽は使用せず、大豆、トウモロコシなどを代わりに使用し、ビールと似た味が出るように開発されている。
