id,name,name_en,img_src,evaluation,looks,smell,taste,throat,total,style,ABV,IBU,brewery,description,brewery_id,style_id
11,デュベル トリプルホップ 2014,DUVEL TRIPEL HOP 2014,http://www.beer365.net/cache/ed7bc76b5a5319c86b59da5be0f97729.jpg,3.43,3,5,5,5,5,IPA・インディアペール(エール),9.50%,,DUVEL MOORTGAT,"「デュベル」の姉妹品「デュベル・トリプルホップ」は、通常の2種類のホップ（チェコ原産のザーツホップ、スロベニア原産のスティリ アン・ゴールディング）にさらにもう1種類のホップを加えた、とても香り高いビール。元は試作品として造られていましたが、2007年に製品化、販売を開始しました。毎年異なるホップの配合と9.5％と高めのアルコール度数、通常の「デュベル」よりもアクセントの効いた苦味が特徴です。
デュベル・トリプルホップ 2014はアメリカ原産のモザイクホップを加えたエキゾチックな印象のビール。タンジェリンオレンジの甘酸っぱさとブルーベリーの風味が共に口に広がります。
(輸入元: 小西酒造株式会社より)
日本オフィシャルサイト: www.duvel.jp",133,18
12,デュベル,DUVEL,http://www.beer365.net/cache/e553e5db8a70632070098c48d0b67eb7.jpg,3.42,4,3.6,4,3.9,3.9,ストロング(エール),8.50%,,DUVEL MOORTGAT,"「世界一魔性を秘めたビール」と称されるゴールデンエールの最高峰。 1918年以来、独自の酵母を用いたオリジナルなレシピが現在も守られ、 ２ヵ月にわたる長い熟成と瓶内2次発酵がその繊細な香り と絶妙な苦味を生み出します。
(輸入元: 小西酒造株式会社より)
日本オフィシャルサイト: www.duvel.jp",133,27
13,志賀高原 IPA,SHIGA KOGEN IPA,http://www.beer365.net/cache/969303db9ece4f1fe3cb0ee26d6f8157.jpg,3.41,3.6,3.8,3.9,3.9,4,IPA・インディアペール(エール),6%,,,強烈なホップの個性をしっかりとしたボディが受け止めます。多くのビールファンにご支持いただき、「自分たちの飲みたいビール」の代表でもある志賀高原ビールの看板商品です。従来にくらべて一層ホップの効きを強化しました。その圧倒的な香りと爽快感をどうぞお試し下さい。,,18
14,鳴子の風 パイナップルエール,NARUKO NO KAZE PINEAPPLE ALE,http://www.beer365.net/cache/217fe43e2af91ee348a0fe53449480bc.jpg,3.4,5,4.5,5,4.5,5,フルーツ・ベジタブル(ハイブリッド),5%,,鳴子温泉ブルワリー(宮城県),"情報がありません。
情報提供のご協力をお願い致します。",300,48
15,丹後王国 マイスター,TANGO OUKOKU MEISTER,http://www.beer365.net/cache/ea556006ddd67b895c1c1fbe836256df.jpg,3.39,4.5,4,4.8,4,4.5,スペシャルティー・その他,,,丹後王国「食のみやこ」(京都府),まろやかな口当たりとスッキリクリアな味わい。京都・丹後産のコシヒカリを副原料に使用。,194,50
16,風の谷 ピルスナー,KAZE NO TANI PILSNER,http://www.beer365.net/cache/4d2703dcaf5d221e3c52bc3324bae7d5.jpg,3.39,4.3,4,4.2,4.2,4.2,ピルスナー(ラガー),,,酪農王国株式会社(静岡県),"《風の谷のビール》が造るピルスナーは､発祥の地・チェコ共和国からその醸造技術を学び､ボヘミアンスタイルに仕上がっています。ボヘミアンスタイルは､比較的ボディが太く色合いもやや濃い目の黄金色｡ホップの苦味も高めですが､麦芽のほのかな甘味とのバランスが取れた､芳香な味わいが特徴です｡
伝統的技法によってじっくりと低温熟成されたボヘミアンピルスナーは､透明度が高く､自然発酵による炭酸ガスが､きめ細かな､そして豊かな泡立ちをつくります｡キレのあるのど越しの中にも､麦芽風味と心地良いホップの苦味が広がる《風の谷のビール》ピルスナー、その奥深い味わいをどうぞお楽しみください｡",226,11
17,バラスト ポイント スカルピン IPA,BALLAST POINT SCULPIN IPA,http://www.beer365.net/cache/9e9f3a0f2a0812679fcb91aea837c74f.png,3.38,4.5,4.2,4.5,4.5,4.5,IPA・インディアペール(エール),7%,70,BALLAST POINT BREWING COMPANY,"マンゴーやパパイヤのような南国フルーツとシトラスが香り爽やかな苦みが特徴の超人気者
(輸入元:ナガノトレーディングより)",139,18
18,グリーン フラッシュ ウェスト コースト IPA,GREEN FLASH WEST COAST IPA,http://www.beer365.net/cache/bbe56c644a222e4f3ca88d1fb500f91f.png,3.36,3.8,4.3,4.2,3.7,4,IPA・インディアペール(エール),8.10%,95,GREEN FLASH BREWING COMPANY,"発売当初クラフトビール業界に衝撃を走らせたビール。多くのブルワリー(醸造所)がこのビールの真似をし、一つの「ウェスト・コースト・IPA」というスタイルを確立している。
イギリスで誕生した従来のIPAと比較し、ホップの風味が非常に強いのが特徴。",155,18
19,サッポロ 新潟限定ビイル 風味爽快ニシテ,SAPPORO NIIGATA LIMITED BEER FUUMI SOUKAI NISHITE,http://www.beer365.net/cache/925700b7c8703aaaaf0ad1819ad300c2.jpg,3.35,4.5,4.5,5,5,4.5,,5%,,サッポロビール株式会社(東京都),"オールモルトのしっかりしたうまみと爽やかなのどごしの、新潟だけで楽しめる、風味爽快で特別なビール。
(オフィシャルサイトより)",114,
20,大山 G 八郷,DAISEN G YAGOU,http://www.beer365.net/cache/8a7b716320dd1da163e23721d8dc1033.jpg,3.31,4.5,4.5,5,3.5,5,スペシャルティー・その他,7%,,くめざくら大山ブルワリー(鳥取県),"今年も大山Gビールの人気限定ビール、「八郷」ができあがりました。地元の方と協力して栽培・収穫した酒米「山田錦」を、ベースとなるヨーロッパ産麦芽にブレンド。フルーティでスパイシーな香味が豊かに感じられ、「山田錦」を配合したことで、ソフトな口当たり、独特の甘みがバランスよくマッチしています。７％という高めのアルコール度数も合わさり、芳醇でしっかりとした味わいに仕上がりました。
(オフィシャルサイト)",173,50
21,ブリュードッグ エルビス ジュース,BREWDOG ELVIS JUICE,http://www.beer365.net/cache/83a6ed26d95aaa03d4751c738ea6d492.jpg,3.29,3,5,5,4,4.5,IPA・インディアペール(エール),6.70%,,,"エルビスジュース・シトラスIPAは、グラスに注ぐと蜃気楼に浮かんだ朝日のようなプラチナゴールド。
プールサイド脇にあるバーからフルーツカクテルの香りが漂うように、リラックスさせる柑橘アロマが鼻先をかすめます。

一口含むと、ワオ！フローラル。ジューシーなシトラスと皮のピリピリした苦みが、カーボネーションの躍動の中に弾けます。心地よい舌触りと絶妙なノド越し。ラスクのようなトースティーな香ばしさと気持ち安らぐフルーティーサワーフレーバー。ピーチやマンゴーのような穏やかなスイートアロマも出てきて南国気分を盛り立てます。
フィニッシュにかけて柑橘系が勢いを増し、まるで搾りたてのグレープフルーツジュースにホップを散らしたようなシトラスビター。

とてもスムーズで飲み易く、柑橘系IPAが大好きなファンは要注目の1本です。
(輸入元: 株式会社ウィスク・イーより)",,18
22,常陸野 ネスト ホワイトエール,HITACHINO WHITE ALE,http://www.beer365.net/cache/1dfa98caebf8075882299ac75fc55103.jpg,3.28,3.9,3,3.9,3.9,4,ベルジャンホワイト・ウィート・ヴィット(エール),5.50%,13,木内酒造(茨城県),"コリアンダー、オレンジピール等のスパイスを加えたベルギー伝統の小麦ビール。ハーブの個性的な香りに小麦の爽やかな酸味がマッチした独特の風味が特徴です。
2000、2004年　ワールド・ビアカップ　金賞
2002年　The Brewing Industry International Awards 金賞+総合チャンピオン
1998、1999年　ジャパン・ビアカップ　金賞",269,40
23,ヤッホー 水曜日のネコ,YO-HO SUIYOUBI NO NEKO,http://www.beer365.net/cache/ae4b86a89ecf1f7669af91f3c9303b97.jpg,3.27,3.2,2.9,3.4,3.2,3.2,ベルジャンホワイト・ウィート・ヴィット(エール),4.50%,37,ヤッホーブルーイング(長野県),"水曜日のネコ」は、ベルギー生まれの「ベルジャン・ホワイトエール」というスタイルです。
ホップの苦みが非常に弱く、小麦のやわらかな味わいと甘酸っぱいフレーバーが特徴的。すっきりとした飲み口なので、普段ビールを飲まない方や女性にもおすすめのエールビールです。
2013、2014年　モンドセレクション　金賞",280,40
24,伊勢角屋 神都,ISE KADOYA SINTO,http://www.beer365.net/cache/c7eb1983c1ecf2aa90e064cd3f8b39a4.jpg,3.26,5,4,5,3.5,5,,,,伊勢角屋麦酒(三重県),"明治時代のほんの一時、伊勢の河崎にあった幻の麦酒『神都麥酒（しんとびーる）』。この幻の麦酒を復活しました。 出来る限り本物に忠実に。
ジャパン・アジア・ビア・カップ　金、銅賞
2006、2007年　ジャパン・ビア・カップ　金賞
2008年　インターナショナル・ビア・コンペティション　 アメリカンスタイル・ペールエール部門　銅賞",216,
25,コエド 瑠璃,COEDO RURI,http://www.beer365.net/cache/de169708738aa57003fb6bd6a4a54f60.png,3.24,3.3,3.3,3.5,3.5,3.5,ピルスナー(ラガー),5%,,COEDO(埼玉県),"黄金色。ホップの苦み香味のバランス、麦の旨味をスッキリと。クリアな黄金色と白く柔らかな泡のコントラストが美しい繊細な日本スタイルのピルスナー。さわやかですっきりとした飲み口ながらも、ホップの香味と苦みのバランスがとれた、飽きのこない深みのある上品な味わい。
2007-2011年　iTQi 二ツ星
2007年　モンドセレクション　金賞",253,11
26,常陸野 ネスト セゾン ドゥ ジャポン,HITACHINO NEST SAISON DU JAPON,http://www.beer365.net/cache/8bc03cc619f88160a597ed8f9d82ff07.jpg,3.21,3.8,4.2,4.2,4.2,4.2,セゾン(エール),5%,,,"ベルギーの伝統的なスタイルのセゾンビールをジャパニーズ・セゾンとしてリメイク。
セゾン酵母が醸し出す酸味と米麹使用による微かな酸味が絶妙にマッチして飲んだ時の心地よさを引き立てます。未ろ過のため濁りがあります。
(オフィシャルサイトより)",,28
27,コエド 毬花,COEDO MARIHANA,http://www.beer365.net/cache/aab54acfddbd36f213334352bdf92c2c.jpg,3.2,3.4,4,3.5,3.4,3.8,IPA・インディアペール(エール),4.30%,45,COEDO(埼玉県),淡い黄金の液色と純白の泡にシトラスフルーツを思わせるアロマが華やかに香るセッション・IPA　（India Pale Ale、インディア・ペール・エール）スタイルのビール。ホップの魅力を存分に楽しめるよう、アメリカ産アロマホップを贅沢に投入し、搾りたてのグレープフルーツのようなジューシーなフレーバー、フレッシュなアロマを最大限引き出しています。低めのアルコール度数と洗練された苦味に、しっかりとしたフレーバーがありながらも、雑味やオフフレーバーを徹底的に抑える事により飲みやすい軽快でクリアな仕上がりになっています。,253,18
28,スプリング バレー オン ザ クラウド,SPRING VALLEY ON THE CLOUD,http://www.beer365.net/cache/312e867ce40b8700dbd3b305800372d4.png,3.15,4,3.8,4.2,4.2,4.2,スペシャルティー・その他,5.70%,23,スプリングバレーブルワリー(東京都),"大麦に加え、小麦を使うことで醸し出される柔らかさとさわやかな味、ネルソンソーヴィンホップと上面発酵による白ワインのようなフルーティーで華やかな香りが楽しめる新スタイルのエール。
(オフィシャルサイトより)",130,50
29,丹後王国 アンバーエール,TANGO OUKOKU AMBER ALE,http://www.beer365.net/cache/abebcf4a9b3dd1d50701db5b4693aa96.jpg,3.15,4.5,5,4.5,3.5,4.5,アンバー・レッド(エール),5%,,丹後王国「食のみやこ」(京都府),芳醇、濃厚な味わいと香り。,194,20
30,リーフマンス フリテッセ,LIEFMANS FRUITESSE,http://www.beer365.net/cache/ae3f6a738515d653a0bc3f956a29d5bd.jpg,3.15,4,4,4.2,4.2,4,フルーツ・ベジタブル(ハイブリッド),3.80%,,LIEFMANS (DUVEL MOORTGAT),"ストロベリー、ラズベリー、ブラックチェリー、エルダーベリーそしてブルーベリーの新鮮で深い味わいをお楽しみください。

爽やかなフルーツ・ビールは、暑い夏の季節にぴったり。氷を浮かべれば、エレガントでスタイリッシュな「リーフマンス・オン・ザ・ロック」の出来上がり。理想的なカクテルビール！
(オフィシャルサイトより)",127,48
31,コエド パラドクシカル IPA,COEDO PARADOXICAL IPA,http://www.beer365.net/cache/b4b4ecf2f5f4e09e0fb5847952c7112d.jpg,3.15,4,4.5,4.5,4.5,4.5,IPA・インディアペール(エール),7%,60,COEDO(埼玉県),"クリアで淡い黄金色に、シトラスやパイン、ピーチを連想させるフルーティーなアロマが薫り立つ、爽快かつドライな味わいのIPA。

アルコール度数7%のハイ・アルコールと綺麗な苦味のあるIPAながら、雑味のない爽快な味わいとドライな飲み口によりそれらを感じさせず、何度も杯を重ねていただけるドリンカビリティが特徴です。

IPAの製法として一般的な「強い苦みを支えるためにボディを強くする」という定石から離れ、あえて「徹底して軽やかにドライに仕上げる」という逆説的＝Paradoxicalな発想を取り入れた新しいコンセプトのビールです。まだまだ残暑厳しく湿度高いこの季節の日本に、ドリンカブルなIPAをご提案します。",253,18
32,日本海倶楽部 ピルスナー,NIHONKAI CLUB PILSNER,http://www.beer365.net/cache/0726779649ce9b1b346985ab3fa1b431.png,3.14,3.5,3.5,4,3.8,3.8,ピルスナー(ラガー),5%,35,日本海倶楽部(石川県),チェコのボヘミア地方ピルゼーニュで生まれた、黄金色に輝く淡色ビール。　ホップの香りとほどよい苦味のある、きりりとした味わいが特徴の下面発酵ビールです。,203,11
33,銀河高原 ヴァイツェンボック,GINGA KOGEN WEIZEN BOCK,http://www.beer365.net/cache/f15b6a9e03cc904b2e3e9fe58fd77ecb.jpg,3.12,4.5,4,4.2,3.2,4.2,ヴァイツェンボック(エール),6%,,株式会社銀河高原ビール(岩手県),"限定醸造ビール「ヴァイツェンボック」は、厳選した小麦麦芽を通常品に比べふんだんに使用し、醗酵初期の温度帯を高めに設定、じっくり時間を掛け醸造を進めた結果、モルト（麦芽）の個性（甘味・コク）がヴァイツェンスタイル特有のフルーティ香に伴って強めに表現された芳醇かつ濃厚なビールに仕上がりました。

色味は橙白色。飲み口は柔らかく、まったりとしており、熟したバナナのようなアロマと蜂蜜を想起させる甘味が喉の底まで染み渡り、少し高めのアルコール感で、酔いと共に優雅な余韻を導きます。
飲み頃は10℃～13℃、特有の香りを十分に満喫する為には冷やし過ぎは厳禁。
冷蔵庫から出して、数分お待ち頂いてから、口が広いグラスに注いでお楽しみください。
(オフィシャルサイトより)",308,44
34,ドュ ランク ヌワール ドゥ ドティニー,DE RANKE NOIR DE DOTTIGNEIS,http://www.beer365.net/cache/d9f9cb31ac7d37042fb91b15fd1de1d9.jpg,3.12,3.5,4.5,4.5,4.5,4.5,スタウト(エール),9%,,ドゥ ランク醸造所,"このビールは、ドュランクが醸造するビールの中で最もフルボディーで濃厚な味わいです。
6種類のモルトを使用することで、濃厚でダークな色合いと絶妙な甘味を実現しています。
さらに、2種類のホップ(チャレンジャー、ザーツ)を大量に使用することで、苦味を加え、濃厚な甘味とのバランスをとっています。",8,26
35,コエド 伽羅,COEDO KYARA,http://www.beer365.net/cache/1bb57ced0b815cf547f3c71be3a3cc4d.png,3.1,3.8,3.4,3.6,3.2,3.5,IPL・インディアペール(ラガー),5.50%,,,赤みがかった深い黄褐色、伽羅色のビール。白葡萄やスパイシーな柑橘を感じさせるアロマホップが香り、鮮やかで綺麗な苦味とともに口の中に広がります。６種の麦芽の配合とやや高めのアルコール分が、味の膨らみと丸みあるミディアムボディを織り成しています。低温発酵ラガー酵母による、飲み応えがありながらもきれていく心地よい後味です。,,1
36,門司港 ヴァイツェン,MOJIKO WEIZEN,http://www.beer365.net/cache/345e8ae6b9e624c0c4e3014814ce8430.jpg,3.08,3,4,5,3,4.5,ヴァイツェン・ヴァイス(エール),,,門司港レトロビール株式会社(福岡県),"ドイツの代表的なビールの一つで、タンパク質から来る深いこくと苦みの少ないフルーティな香りと味が特徴の非常に飲みやすいビールです。
このヴァイツェン特有のバナナのようなフルーティな香りはヴァイツェン酵母によるもので、このビールの濁りはその酵母です。この酵母に含まれるビタミン類、ミネラル、タンパク質は健康や肌に大変良いものです。
このヴァイツェンが他のビールと違うところは炭酸が強く原料と醸造方法が違うところです。原料は小麦麦芽を５０%近く使用し、このタンパク質が多い小麦麦芽を使うことによって、深いこくが生まれます。又、醸造法は他のビールがインフュージョン法を用いるのに対し、デコクション法を用いて他のビールとは違 った味わいを醸し出しています。小麦麦芽を使用するビールはこのヴァイツェンの他に、ベルギーのベルシャン・ホワイト、ランビックがあります。",178,45
37,富士桜高原 ヴァイツェン,FUJIZAKURA KOGEN WEIZEN,http://www.beer365.net/cache/811a3825b40ea14e945732ce7d8cd03a.jpg,3.08,4,4,4,4,4.2,ヴァイツェン・ヴァイス(エール),5.50%,,富士桜高原麦酒 (山梨県),"ドイツ・バイエルン地方で愛飲されているビールです。
ヴァイツェンとは“小麦”という意味で、文字どおり小麦麦芽を50％以上使用しています。
小麦麦芽と上面酵母による濁りとフルーティーな香り、上品な味が特徴です。
特に、女性やビールが苦手な方にもおすすめできる逸品です。
World Beer Awards　World`s Best Bavarian Hefeweiss , Asia`s Best Bavarian Hefeweiss
ワールド・ビア・カップ　 South German-Style Hefeweizen　銀賞
インターナショナル・ビア・コンペティション　へーフェヴァイツェン　金、銀、銅賞
アジア・ビアカップ　ヴァイス　金、銀、銅賞
ジャパン・クラフト・ビアセレクション　ダイヤモンド、プラチナ賞
ジャパン・アジア・ビアカップ　ヴァイス　銀,銅賞
ジャパン・ビアカップ　ヴァイス　金、銀賞
2000年　ジャパン・ビアグランプリ　銅賞",235,45
38,リンデマンス ペシェリーゼ,LINDEMANS PECHERESSE,http://www.beer365.net/cache/8fdde4adba095b4d96e0a1861c5899fc.png,3.08,3.5,4.5,4.5,4,4.5,ランビック(ハイブリッド),2.50%,,ブルワリー リンデマンス,"桃の天然果汁を加えたフルーツランビックです。
色は透き通った黄金色。香りは桃の優しい香りがいっぱいに広がります。
程良い甘さで、アルコール度数も低く、アルコールが苦手な方にもおいしくお飲みいただけます。
(輸入元: ユーラシア・トレーディング株式会社より)",23,49
39,丹後王国 ヴァイツェン,TANGO OUKOKU WEIZEN,http://www.beer365.net/cache/deb31303671fa7bc9ce5cc812a5dba05.jpg,3.08,4.5,5,4.5,3.5,4,ヴァイツェン・ヴァイス(エール),5%,,丹後王国「食のみやこ」(京都府),さわやかな口当たりとフルーティーな香り。,194,45
40,湖畔の杜 天涯,KOHAN NO MORI TENYA,http://www.beer365.net/cache/e6dc319c40cfdbf1fdd49d2493af28e9.jpg,3.06,4.2,4,4,4,4,スィート・ミルク・オートミールスタウト(エール),5.50%,,株式会社トースト(秋田県),"オールモルトに加え、通常ビールのモルト使用率を約４０％も高め(自社比）、且つビール酵母自らの発酵力を待ってじっくり仕上げた長期発酵仕上げのなんともリッチなビール。
ローストした麦芽のなんとも言えない香ばしさがあり、温度を高めにして召し上がって頂くとまたこのビールの深いコクや香りが愉しめます。
2009年　全国酒類コンクール上海　総合1位",297,23
41,ブリュードッグ ジャックハマー IPA,BREWDOG JACKHAMMER IPA,http://www.beer365.net/cache/4ec6d22151d3f9a870d5a79b920834a6.jpg,3.05,3.5,4.5,4.5,4.5,4,IPA・インディアペール(エール),7.20%,200,BREWDOG BREWERY,"ジャックハマーは、文字通り体中が震えまくるようなIBU値100のドッカン級ホップが炸裂します。強烈な苦味を期待していたところに旨味たっぷりのドライビター。
単に苦味だけじゃなく、しっかりと前面に麦芽香を出させておいて、その裏側を大量のホップが支えているような素晴らしい構図です。
7.2％のアルコール感からじわじわと染み出すフルーティービター。レモンやパイナップル、グレープフルーツのような期待通りのビターホップは、IPA信者も大納得。もう一杯飲みたくなる常習性たっぷりのIPAです。
(輸入元: 株式会社ウィスク・イーより)",151,18
42,丹後王国 スモーク,TANGO OUKOKU SMOKE,http://www.beer365.net/cache/293b07292d736a15a4e16d131d57c13e.jpg,3.05,5,5,4,3,5,スモーク・ラオホ(ハイブリッド),,,丹後王国「食のみやこ」(京都府),心地よい苦みとスモーキーな香り。,194,46
43,ヤッホー 月面画報,YO-HO GETSUMEN GAHO,http://www.beer365.net/cache/d0c5cc2acdd784217c522e5ea9575b77.jpg,3.04,3.8,3.5,3.4,3.4,3.5,ペール・ビター(エール),5.50%,,ヤッホーブルーイング(長野県),"Amazon.co.jp限定でのオリジナルビールの開発･販売は日本で初めてです。ヤッホーブルーイングは、日頃からAmazon.co.jpにて書籍やDVDなどの趣味用品を購入しているお客様に、一緒に楽しめるクラフトビールを提案すると共に、よなよなエールをはじめとする個性豊かなビールの味わいをさらに日本で広げていきたいと考えています。
バナナを思わせるフルーティなアロマが特徴のベルジャン酵母と、アメリカンホップが織り成す、芳醇で華やかな香りが特徴です。かすかに感じられるモルトのやさしい甘味が調和する飲み心地の良いビールに仕上がりました。",280,41
44,ズモナ ヴァイツェン,ZUMONA WEIZEN,http://www.beer365.net/cache/e574a81373bc38a87fc8cad2481b7a9e.jpg,3.04,3.2,3.8,4.2,3.8,4,ヴァイツェン・ヴァイス(エール),,,遠野麦酒(岩手県),ドイツが誇る、小麦麦芽を使用した上面発酵タイプのビール。小麦独特の風味と酸味があり苦味が弱く、炭酸ガスの含有量が高いのが特徴。清涼感のある爽快な喉ごしのクリーミーでフルーティな味わいです。,310,45
