id,name,img_src,address,tel,web,description
11,10 ANT`S BREWING,http://www.beer365.net/cache/a867c5b07d76b34db9637f3b9c94a577.jpg,日本 東京都府中市四谷1-47-1,,http://www.ten-ants.biz/,"2015年に設立された新しいブルワリー。
醸造施設を持たない「ファントムブルワリー」として営んでいる。
ビールなどの醸造は、日本ビール醸造株式会社に委託。"
12,ブラッスリー デュ ボック,http://www.beer365.net/cache/6e7607181911caa9a56ef76d3274ad45.gif,"ベルギー Rue de la Brasserie 4, Purnode/Yvoir",+32-82-61-07-90,http://www.bocq.be/english/,"デュ・ボック（Du Bocq）醸造所の歴史は、プルノーデ村（Purnode）の農民であったマルティン・ベロト（Martin Belot）が自分の納屋でビールの醸造を始めた１８５８年に全てが始まりました。当初、農作業ができない冬の間だけ醸造されていましたが、水質、水量ともに申し分のない井戸が農場の近くで発見されたことも、勿論大きな利点のひとつでした。

醸造されたビールは自家消費と、醸造所から数キロの範囲に住んでいる彼のご近所に供給されました。第１次世界大戦後になって初めて、その主だったビールアイテムがベルギー国内の広い地域へ供給され出しました。

１９６０年になって、並行して行われていた農作業や各購入者へのビールの直接配送が完全に中止され、この時からスーパーマーケットを通じて或いは卸業を通じて配送されるもっと近代的な方法が取られることになりました。１９６７年には、２種類の新たなビールがデュ・ボック醸造所の製品リストに加わりました。セゾン・レガル（Saison Regal）とレガル・クリスマス（Regal Christmas）です。この時にベロト家では、瓶内２次発酵という特別な上面発酵ビールの生産に特化することを、決めたのです。

デュ・ボック醸造所はフランスを中心に、オランダ、イタリア、英国、スペイン、フィンランド、オーストラリアそして日本への輸出を行っています。同醸造所の総生産量は２０００年にほぼ６０，０００ＨＬに達し、ワロン地方の重要な醸造所ファミリーのひとつとみなされています。
(輸入元: 小西酒造株式会社より)"
13,ブラッスリー デオルヴァル,http://www.beer365.net/cache/9bbb0431f62603ba34968a72940e29bd.jpg,"ベルギー Abbaye Notre-Dame d'Orval 0, Villers-devant-Orval",+32-61-311-261,http://www.orval.be/en/8//,"オルヴァルの歴史は1070年から始まっています。長い歴史の中で、オルヴァル修道院は一度経営難によって手放され、戦争によって破壊もされています。
破壊された修道院を立て直す為の資金集めの事業として、醸造所が1931年に建設されました。
最初の主任醸造技師はパッペンハイメルというドイツ人で、彼が醸造したビールが今のオルヴァルビールの原型となっています。"
14,マレッツ アベイ デュベル モルトガット,http://www.beer365.net/cache/cd27a9b41cbddac0349fb91c95a2e64f.png,"ベルギー Rue de Maredsous 11, Denee",+32-82-69-82-11,http://www.maredsousbieres.be/,"ベルギー・アルデンヌ地方の小さな村、デネー(Denee)にあるマレッツ修道院は、1872年10月15日ブーロン修道院(Beuron Abbey,ドイツ)によって設立されました。
当初、マレッツ修道院は、修道士のための滋養のある飲料として修道院内部でビール醸造していましたが、1882年以降、院内に中等教育学校であるサン・ブノワ(Saint Benoit)や学生寮を併設し、教育推進方針が選択されたことで修道院の醸造活動は続けられなくなり、後にビールの醸造をデュベル・モルトガット醸造所へ外注するに至る背景となりました。
マレッツ修道院ビールは、依然としてオリジナルレシピに従って、醸造されています。現在、マレッツ修道院では約35名の修道士が共同生活を送っています。
(輸入元: 小西酒造株式会社より)
http://http://www.konishi.be"
15,ジョン マーティン ブルワリー,http://www.beer365.net/cache/2a284d6e6bdc58eca1cf78aa8a7f5fbc.jpg,,+32-82-69-82-11,http://www.maredsousbieres.be/,"20世紀初めにイギリス人であるジョン・マーティン氏がベルギーのアントワープ市に移住し、イギリスからのビール輸入業を開始したのが、このブルワリーの始まりである。
次期に自社ビールMARTINS(マーティンズ)の製造も始める。100年以上経った今でも、ベルギーでイギリスの伝統的なビールを醸造しているのは、ジョンマーティンブルワリーのみ。"
16,ブルワリー ティママン,http://www.beer365.net/cache/7f304d0bcd2abfb63bff681b2c648c90.png,"ベルギー Kerkstraat 11, Dilbeek-Itterbeek",+32-25-69-03-57,http://anthonymartin.be/en/timmermans-brewery/,"1702に創業したブルワリー。創業時はMOLE BREWERY(モールブルリー)という名前で始めたが、20世紀初めに6代目が現在のTIMMERMANS(ティママン)という名前に改名。
創業当初からランビークスタイルのビールを醸造する老舗である。"
17,デ プルーフ ブルワリー,http://www.beer365.net/cache/e340cfd52343a641f69977182b9fc330.jpg,"ベルギー Doornzelestraat 20, Lochristi",+32-93-56-71-02,http://www.proefbrouwerij.com/index.aspx?lng=en,"1996年に設立されたブルワリー。
主に外部から依頼を受けたビールを醸造し、自社ビールを醸造するものの積極的なブランディングや宣伝などは行っていない。"
18,ブルワリー ド ブロック,http://www.beer365.net/cache/f2e78fba497b7c53310b0906ba6f4d85.jpg,"ベルギー Nieuwbaan 92, Merchtem",+32-52-37-21-59,http://www.brewery-deblock.be/en/,"1887年、ルイス・ド・ブロック氏が設立したブルワリー。家族経営の小さいブルワリーですが、人気が広がり現在は世界中で楽しめるビールとなっている。
製法は代々引き継がれ、使用しているビール酵母などは100年以上も前から培養され受け継がれている。"
19,月と太陽ブルーイング,http://www.beer365.net/cache/a7e2579b96652f844ed79f75d85a3f1a.jpg,日本 北海道札幌市中央区南3条東1丁目3,011-218-5311,https://www.facebook.com/msbrewing,自店で製造したクラフトビールを提供する店「ブルーパブ」事業の立ち上げを目指す道産子中年クラフトビアマンの愉快なお店です。
20,ブルワリー ウォルフ,http://www.beer365.net/cache/0b509739abaf6a3bf08bf8a9e176057b.jpg,ベルギー Betekomsesteenweg 76,+32-16-41-30-63,http://www.wolfbelgium.be/jp,"ウォルフ醸造所は2008年に創業し、人生への情熱から生まれたビールを幅広く生み出しています。ウォルフはチャンスを掴むこと、そして特に自ら探検したいと思う適切な道を日々新たに選ぶことを意味します。未来は自分の夢の美しさを信じている人たちのものです。乾杯！
(オフィシャルサイトより)"
21,ブルワリー ヴァン ホンセブロック,http://www.beer365.net/cache/3a7e451663b4f7cf74b4e175e596cb4f.png,ベルギー Oostrozebekestraat 43 Ingelmunster,+32-51-33-51-60,http://www.vanhonsebrouck.be/en/,"1865年にサンジョセフブルワリーとして創業、1953年に現在の名前ヴァン・ホンスブルック醸造所に改名。
1955年、当時の社長ルーク・ヴァン・ホンスブルックがラガービールの醸造を中止し、ランビックとクリークの醸造に力を入れた。これが転機となり、ヴァン・ホンスブルックは、急成長を遂げた。
1986年にインゲルミュンスター城を購入し、現在の醸造施設となっている。
2016年に新しい醸造施設が完成する予定。"
22,ニセコビール株式会社　ニセコビール,http://www.beer365.net/cache/387b7458f6c8ba5a17cfb6bee80c3718.png,日本 北海道虻田郡ニセコ町本通４番地11,0136-55-5664,http://www.nisekobeer.co.jp/,"私たちは今や有名となったスキーリゾート地である、北海道のニセコ町に新しいブルワリーを2014年夏、開業しました。
ニセコの美味しい水を使ったピルスナー(山吹)、ペールエール(残照)、地元で採ることが出来る鮭節などを風味付けに使ったポーター(蝦夷)を中心に、ブドウやかぼちゃを使ったフルーツビールなど、美味しいビールを作っています。
(オフィシャルサイトより)"
23,ブルワリー リンデマンス,http://www.beer365.net/cache/b3d0a72f563ec1cca182926c38382aae.jpg,ベルギー Lenniksebaan 257 St Pieters Leeuw-Vlezenbeek,+32-25-69-03-90,http://www.lindemans.be/,"リンデマンスとは、ベルギーはフラマン・ブラバント州にあるベルギービール醸造所です。
ブリュッセル近郊で農場を所有していたリンデマンス家が、1809年に自家栽培していた大麦や小麦などを原料にランビックを冬季に醸造したのが始まりです。1930年以降は醸造に専念し、その年に発売した
「クリーク」は、世界的に有名なビール評論家マイケル・ジャクソンによる「世界のビール」ベスト5に選ばれています。
また、1978年には、人々の記憶から消え去りかけていた、
伝統的な製法である「ファロ」を見事に復活。
1980年には、フルーツビール「フランボワーズ」を発売し、
フルーツビール人気に火をつけました。
1995年には本格的な無濾過のグーズ""キュベ・ルネ""を発売し、とても高い評価を受けています。

比較的規模の小さい醸造所ですが、現在の当主は、輸出に積極的でアメリカやヨーロッパ各国に多く輸出され、その素晴らしい味わいから世界中の人々に愛飲されています。
(輸入元: ユーラシア・トレーディング株式会社より)
http://www.eurasiatrading.co.jp"
24,アントワープ ブルーイング カンパニー,http://www.beer365.net/cache/678c62a49c5d729abad8ca7be5391128.jpg,"ベルギー Appelkantstraat 11 Antwerpen, Hove, Antwerpen",,http://www.seefbeer.jp/,"アントワープブルーイングカンパニーは、まだまだ歴史が浅く、趣味から発展し、2012年には本格的に会社として醸造を開始しました。
世界大戦の影響などで、ベルギー第二の都市であるアントワープで古くから飲まれていたビールのレシピが消えてしまいました。
消えた理由は、醸造していた数多くのブルワリーが戦争によってすべて閉鎖に追い込まれたからです。
アントワープブルワリーカンパニーの始まりは、この失われたレシピの復元から始まりました。
そして80年の時を経てアントワープの街で愛されていた「セーフビール」を再現することに成功したのです。"
25,ブルワリー ハーヒト,http://www.beer365.net/cache/8eb4677641de21db1f1263e4a76959d9.jpg,ベルギー Provinciesteenweg 28 Boortmeerbeek,+32-16-60-15-01,http://www.haacht.com/en,"現在ベルギーにおいて約100ある醸造所の中で、ハーヒト醸造所は三番目の規模を有しています。
ルーヴェン市とメッヘレン市との間にあるフレミッシュ・ブラバント州にあり、由緒ある家族経営による醸造所です。
ハーヒト醸造所はその豊かな伝統と個性を誇りにしています。
最大の長所はまぎれもなく外食産業です。
ハーヒト醸造所は生産している飲料をベルギー、南部オランダ、および北フランスの5,000軒以上の飲食店または自社パブに提供しています。
年間で約12万KL（キロリットル）の生産があります。
1975年にメインラガービールとして、プリムスの販売を開始しています。
(輸入元: ユーラシア・トレーディング株式会社より)
http://www.eurasiatrading.co.jp"
26,ブルワリー ウェストマール,http://www.beer365.net/cache/0b4084916ad7b0cb22417e6ba19f4857.jpg,ベルギー Antwerpsesteenweg 496 Malle,+32-3-312-92-22,http://www.trappistwestmalle.be/en/page/brouwerij.aspx,"1794年にウェストマール修道院が設立され、1836年からビールの醸造を開始。醸造開始後は院内で消費される量のみを醸造されていましたが、1856年からは院前の門からビールの販売を開始。瞬く間に人気となり、1865年と1897年に２度ほど醸造施設を増設。1921年からは一般向けへの販売を開始し。
トラピストビールと名乗ることが許されている12の修道院のうちの一つで、ビールの醸造において最も歴史が長い。"
27,ヴァルシュタイナー ブルワリー,http://www.beer365.net/cache/42f8b98543b83e1c94eb97713d602113.jpg,"ドイツ Domring 4-10 Warstein , North Rhine-Westphalia",+49-2902-888866,http://www.warsteiner.com/,"ヴァルシュタイナーブルワリーは1753年に創業し、ドイツでも家族経営としては有数のブルワリーとして知られている。
ヴァルシュタイナーブランドが看板商品で、60カ国以上で楽しまれていて、ドイツを代表するプレミアムピルスナーである。"
28,シエラ ネバダ ブルーイング,http://www.beer365.net/cache/f588140fa2cd33436960e1c76857cee3.jpg,"アメリカ合衆国 1075 E. 20th Street Chico, California",+1-530-893-3520,http://www.sierranevada.com/,"ホームブリュワーとして始まったビールが代名詞となる「シエラネバダ・ペールエール」を産み出し、その後３０年以上に渡って愛され、人々を虜にしてきた。今、世界各国で活躍するブリュワー達のほとんどが口にしてきたブリュワリーの功績は計り知れない。アメリカ第二位のブランドとなった現在、創業者のケン・グロスマンが億万長者になったことがニュースになり、同時にそれはクラフトビール業界の盛り上がりを象徴しているとされる。
(輸入元: 株式会社ナガノトレーディングより)"
29,ブルワリー アフリゲム,http://www.beer365.net/cache/0a5e027865a3e8a7ebd5573a7555fbfd.png,ベルギー Ringlaan 18 Opwijk,+32-52-35-99-11,http://www.affligem-brouwerij.be/,"アフリゲムの起源は、戦争で傷つき生き残った６人の騎士達が、ゲントのサンピエトロ寺院の司祭の教えにより修道士になったのが始まりです。彼らは故郷のアフリゲム村に戻り、1074年に念願であった修道院の建設を始めました。その設立当初からのビール醸造の伝統を受け継ぎ、アフリゲムはトラピストビールも含め、現存するベルギーの修道院ビールの中で最も歴史のあるビールです。
(輸入元: キリン株式会社より)"
30,ブラッスリー デ フランシュ モンターニュ,http://www.beer365.net/cache/a617bb644760270358b92971f209d9d4.jpg,"スイス Chemin des Buissons 8, Saignelegier",+ 41-32-951-26-26,http://www.brasseriebfm.ch/en/,"1997年にジェローム・ルブテ氏が創業した小さなブルワリー。
ジェローム氏は、大学で醸造学を学び、23歳で地元フランシュモンターニュでブルワリーを立ち上げた。設備を整えるための資金を調達できず、設備や原料などは、通常ビールで使わない物を使用。
この工夫が話題を呼び、瞬く間に世界に注目される醸造家となる。
2009年には、ニューヨークタイムズ紙が「世界でも最もおいしいバーレーワイン」と評価。
BFMのビールはすべて少量で醸造、世界中の有名レストランや美食家などが購入する為、希少価値が非常に高いビールとしても知られている。"
31,合同会社ソングバード,http://www.beer365.net/resize/r/110x110/noimage-brewery.jpg,日本 千葉県木更津市清川1-14-12,,http://songbirdbeer.blogspot.jp/,"2015年に千葉県木更津市で創業したブルワリー。オーナーは、中島恭平さんとモナミさん夫妻。
中島さんは、大学生の頃に都内のクラフトビール専門店でアルバイトし。大学を卒業後、米国のナパバレーでビールの醸造を学んだ。
仕込みや発酵はほとんど手作業で行い、地元や県内の原料を使った季節感あるビールを造っている。"
32,株式会社DHCビール,http://www.beer365.net/cache/c2d33f91efbf559016d9a94b0cd8e076.png,,,http://songbirdbeer.blogspot.jp/,"2015年春にハムなど加工肉で知られている米久株式会社のビール製造販売事業部を化粧品や健康食品メーカー株式会社DHCが買収。
新たに株式会社DHCビールを設立し、ビールの醸造を開始。"
33,北上サクラブルワリー,http://www.beer365.net/cache/cea253f10e12f01914464b79db2643e9.jpg,日本 岩手県北上市青柳町2-2-18,0197-61-2316,https://www.facebook.com/tenshochisakurabrewery/timeline,"ヨーロッパの技術と地元の厳選素材を使用したビールを醸造。
2015年に開業した新しいブルワリー。
醸造したビールは、ほど近いALE HOUSE ROBIN HOODで飲むことができる。"
34,滝川クラフトビール工房,http://www.beer365.net/cache/27a9efaa1efdb6ab36f00dc5df580969.png,日本 北海道滝川市西滝川76-1,0125-26-2000,http://takikawa-fureainosato.com/%E5%A3%B2%E5%BA%97/%E6%BB%9D%E5%B7%9D%E3%82%AF%E3%83%A9%E3%83%95%E3%83%88%E3%83%93%E3%83%BC%E3%83%AB%E5%B7%A5%E6%88%BF/,"滝川ふれ愛の里館内にございます醸造施設にて製造しております。

伝統的な醸造方法で丁寧に造られた個性豊かなクラフトビールをぜひご賞味ください。
(オフィシャルサイトより)"
35,合同会社MARCA,http://www.beer365.net/cache/7c4f99152d3a8b3e452b9d34ca3204e2.jpg,日本 大阪府大阪市西区北堀江3-7-28,06-6710-9487,http://beermarca.com/,"大阪の北堀江にある大阪初のブリューパブです。
2015年4月8日に酒類製造免許（発泡酒）を取得し、醸造を開始致しました。"
36,GOSSER BRAUREI,http://www.beer365.net/cache/2c66cdb47d172e25b78911f34339dbce.jpg,"オーストリア Brauhausgasse 1, Goss",+43-810-2069791,http://www.goesser.at/,"ゲッサービールはウィーンから車で約2時間、シュタイアーマルク(Steiermark)州のLeobenという町のGossで醸造されています。書類に残っている最初の記録は1459年で、Goss尼僧院で「液体のパン」として作られていました。
1860年、マックス・コバーによってゲス尼僧院の一部が買い取られ、新しい醸造工場が造られました。今日のゲッサービール醸造所の歴史は、ここからはじまります。1920年にはオーストリアではじめてパスツール滅菌法（低温滅菌）が取り入れられるなど、新しい技術の導入にも積極的で、醸造所は順調に業績を伸ばしてきました。

ゲッサービールは、醸造所に湧き出すオーストリアでも有数のすばらしい水で作られます。水は、ビールの味わいや香りを左右する最大の要素のひとつです。
ホップはビールの魂とも呼ばれ、香りだけでなく、製品の安定にも重要な役目があります。ゲッサービールには、７メートルもの蔓を持つシュタイアーマルク州のホップが使われています。
麦は、ビールのボディです。大麦にはビタミンやミネラルが大量に含まれており、ゲッサービールはオーストリア産の大麦を100％使って醸造されています。もちろん、副原料は一切使われておりません。

ゲッサービールの持つ適度なこくと苦みは、ビール好きにとってたまらないものです。口に含んだ時の風味、さわやかですが強い味、そして上品な麦芽とホップの香り。
ゲッサービールの醸造所は、本当にささやかな規模です。しかし、選ばれた原材料と伝統的なレシピ、そして最新の技術と細やかな気遣いによって、オーストリアナンバーワンのビールが醸造され、小さな町からオーストリア全土に出荷されているのです。
(輸入元: 有限会社イエナより)"
37,BINDING BRAUREI,http://www.beer365.net/cache/be8e56718fa4fa22ce1ae867524f77a7.jpg,"ドイツ Darmstadter Landstrasse 185 Frankfurt, Hesse",+49-696-0650,http://www.binding.de/,"1870年、ドイツのフランクフルトで コンラド・ビンディング氏が創業したブルワリー。
様々なビールブランドの買収などを積極的に行い、さらにビンディング自体も買収され、現在はラーデベルガーグループの傘下にある。
自社名のビンディング以外で醸造しているブランドは、CAROLUS(カロルス)、BRAUMEISTERS KRAFT MALZ(ブラウマイスタークラフトモルツ)、SCHOFFERHOFER(シェッファーホッファー)、CLAUSTHALER(クラウスターラー)。"
38,RADEBERGER EXPORTBIERBRAUREI,http://www.beer365.net/cache/20ec9e858ebb437ecc15412acff4027b.jpg,"ドイツ Dresdener Strasse 2 Radeberg, Saxony",+49-3528-4540,http://radeberger.de/de/radeberger-brauerei/,"1872年にズム・ベルケラーが創業したブルワリー。1905年、ザクセンの王「フリードリッヒ　アウグストⅢ世」の最も好む飲み物として認定され、以降世界的にも輸出が開始された。
現在、数多くのブルワリーが存在するドイツの中でも売り上げはトップ10に入る。"
39,HOFBRAU KALTENHAUSEN (HEINEKEN),http://www.beer365.net/cache/40607740b8e6d0ec6ed6c1ba3f114183.png,オーストリア Postfach 108 Hallein,+43-6245-7950,http://www.kaltenhausen.at/en/index.html,"1475年にオーストリアのザルツブルク州にあるハライン市でハンズ・エルセンハイマー氏が設立されたブルワリー。
ハライン市の独特な地形や天然水をどうにか利用できないかと始めたのがブルワリーである。
現在は、ハイネケングループの傘下。
ホフブロイ・カルテンハウゼンブランド以外で醸造しているビールは、EDELWEISS(エーデルワイス)。"
40,ZILLERTAL BIER,http://www.beer365.net/cache/23f7664f78dd3e985c182276112881cf.jpg,オーストリア Umfahrungsstrase 3 Zell Am Ziller,+43-5282-2366,http://www.zillertal-bier.at/zillertalbier_wartung.php,"ツィラタールビール会社は、コロンブスのアメリカ大陸発見とほぼおなじ、１５００年の創業。オーストリアで最も古くから続く企業の一つであり、また最も歴史あるビール会社の一つでもあります。そして、オーストリアで最初にピルスナービールを醸造した会社なのです。

ツィラタールの「タール」とは、ドイツ語で「渓谷・谷間」という意味。ツィラタールビールは、チロル地方のツィラー川流域で５００年以上にわたって呑まれていた、地域に密着した本当の地ビールです。
(輸入元: 有限会社イエナより)"
41,HOEGAARDEN BREWERY (INBEV),http://www.beer365.net/cache/682745a7821643762ec5ae724c302ab9.jpg,"ベルギー Stoopkenstraat 46, Hoegaarden",+32-16769811,http://hoegaarden.com/,"1400年頃のベルギー・ヒューガルデン村では、修道士が積極的にビールの醸造を行っていた。この頃人気が出たビールが小麦を使用したウィートビールである。当初は酸味が非常に強いビールでしたが、修道士がオレンジやコリアンダーを使用することで現在知られているベルジャンウィートビールの味が誕生。
1900年に入るとピルスナーの人気によって、ヒュールガルデン村に存在していた多くのウィートビールのブルワリーが閉鎖に追い込まれ、1957年には最後のブルワリーも閉鎖された。
1965年にヒューガルデン村の伝統や文化を守る為にピエール・セリス氏が再びウィートビールを醸造する「デ・クライス」ブルワリーを立ち上げた。
このデ・クライスブルワリーのビールは非常に人気となり、世界への輸出を開始する寸前で火災によって、ブルワリーが製造不能に追い込まれる。再び同じビールを醸造する為に、1989年に大手ビール会社アンハイザーブッシュ・インベヴ(INBEV)の傘下に入った。
現在は、INBEVの元、デ・クライスブルワリーではなく、ヒューガルデンブルワリーとして世界に愛されるベルジャンウィートビールを醸造。"
42,BROOKLYN BREWERY,http://www.beer365.net/cache/52fdf398eecacdf3c4ca4d8c01582229.jpg,"アメリカ合衆国 79 North Eleventh Street Brooklyn, New York",+1-718-486-7422,http://brooklynbrewery.com/,"1985年に創業者のスティーヴヒンディーが６年間の中東勤務を終え、ニューヨーク州ブルックリンの自宅に帰国。帰国後、引き続き本職のニュース編集者として活躍しながら、自宅でビールを醸造。
本人が醸造するビールが友人などに好評となり1988年に協力してくれるパートナーの元、ブルックリンブルワリーを創業。
1988年当初のアメリカは、味と香りが少ない喉越しがスッキリとしたビールが普及していた為、彼らが醸造する味わい深いビールは、すぐに噂となり多くのファンがついた。
現在は、全米だけでなく、世界各国でも人気のブルワリーとなっている。"
